name;date;training_time_(min);nb_epoch;max_attempts;min_confidence_score;beta1;beta2;cost_loss;accuracy;confidence_score;learning_rate_CNN;kernel_size;kernel_number;activation_function_CNN;learning_rate_DNN;neurons_number;activation_function_DNN;Size_training_set;Size_test_set;Based_model;Number_fine_tunning;alpha
DM(0,18000)(0,99967)(13-10-2025).pickle;13/10/2025;6.39718344608943;1;100;0.2;0.9;0.999;1.26251234242582;0.18;0.999667312419558;0.05;3,2;64128;relu,relu;0.01;64,64,10;relu,relu,relu;1294;143;X;0;0.01
DM(0,06000)(0,10000)(13-10-2025).pickle;13/10/2025;3.93527230024338;1;100;0.2;0.9;0.999;2.77696505520405;0.06;0.1;0.05;3,2;64128;relu,relu;0.01;64,64,10;relu,relu,relu;1294;143;X;0;0.01
DM(0,12000)(0,10854)(13-10-2025).pickle;13/10/2025;43.2393211245537;1;100;0.5;0.9;0.999;0.292373616894139;0.12;0.108535362766125;0.005;3,2;64128;relu,relu;0.01;64,64,10;relu,relu,relu;1294;143;X;0;0.001
DM(0,04000)(0,09489)(13-10-2025).pickle;13/10/2025;136.804222249985;1;100;0.2;0.9;0.999;2.38370408753817;0.04;0.0948851798131214;0.005;3,2;64128;relu,relu;0.01;64,64,10;relu,relu,relu;1294;143;X;0;0.001
DM(0,50000)(0,39800)(14-10-2025).pickle;14/10/2025;8.42138065894445;2;1;0;0.9;0.999;1.8528268270507;0.5;0.397995031688487;0.005;3,2;64128;relu,sigmoide;0.001;64,64,10;tanh,tanh,relu;1294;143;X;0;0.001
DM(0,72000)(0,63381)(14-10-2025).pickle;14/10/2025;22.927107111613;7;1;0;0.9;0.999;0.795540563272386;0.72;0.633806622359589;0.001;3,2;64128;relu,sigmoide;0.001;64,64,10;tanh,tanh,relu;1294;143;DM(0,50000)(0,39800)(14-10-2025).pickle;1;0.001
DM(0,72000)(0,63755)(14-10-2025).pickle;14/10/2025;56.9645167708397;17;1;0;0.9;0.999;0.834173345088853;0.72;0.637552909092537;0.001;3,2;64128;relu,sigmoide;0.001;64,64,10;tanh,tanh,relu;1294;143;DM(0,72000)(0,63381)(14-10-2025).pickle;2;0.001
DM(0,74000)(0,60368)(14-10-2025).pickle;14/10/2025;85.6201050122579;27;1;0;0.9;0.999;0.909600386759416;0.74;0.603677958137173;0.0001;3,2;64128;relu,sigmoide;0.0001;64,64,10;tanh,tanh,relu;1294;143;DM(0,72000)(0,63755)(14-10-2025).pickle;3;0.001
DM(0,48000)(0,17706)(14-10-2025).pickle;14/10/2025;4.13357782761256;1;1;0;0.9;0.999;1.78932284500819;0.48;0.177057936346715;0.001;3,2;64128;relu,sigmoide;0.001;64,64,10;tanh,tanh,relu;1294;143;X;0;0.001
DM(0,60000)(0,18722)(14-10-2025).pickle;14/10/2025;4.08188471396764;1;1;0;0.9;0.999;1.75162828309715;0.6;0.187221949889499;0.001;3,2;64128;relu,sigmoide;0.001;64,64,10;tanh,tanh,relu;1294;143;X;0;0.001
DM(0,70000)(0,15988)(14-10-2025).pickle;14/10/2025;4.08827914396922;1;1;0;0.9;0.999;1.85646172795529;0.7;0.159882653780388;0.001;3,2;64128;relu,sigmoide;0.001;64,64,10;tanh,tanh,relu;1294;143;X;0;0.001
DM(0,84000)(0,52375)(14-10-2025).pickle;14/10/2025;4.2854816198349;1;1;0;0.9;0.999;0.812674921344841;0.84;0.523749127649675;0.001;3,2;64128;relu,relu;0.001;64,64,10;relu,relu,relu;1294;143;X;0;0.001
DM(0,92000)(0,65676)(14-10-2025).pickle;14/10/2025;3.05988479455312;1;1;0;0.9;0.999;0.55372932608106;0.92;0.656758332377478;0.001;3,2;64128;relu,relu;0.001;64,64,10;relu,relu,relu;1294;143;X;0;0.001
DM(0,98000)(0,96697)(15-10-2025).pickle;15/10/2025;56.8219066262245;20;1;0;0.9;0.999;0.0831395762049996;0.98;0.966965424580683;0.001;3,2;64128;relu,relu;0.001;64,64,10;relu,relu,relu;1294;143;X;0;0.001
DM(0,74000)(0,70100)(14-10-2025).pickle;14/10/2025;23.7235131263733;20;1;0;0.9;0.999;3.64130384414785;0.74;0.70100062573221;0.001;3,2;64128;relu,tanh;0.001;64,64,10;relu,relu,relu;1294;143;X;0;0.001
